#                       ----------------------    BROKEN POWER-LAW    ----------------------    ----  GLOBAL  ----
# NAME   NX lgL50 K         AL1            AL2            lgLX         C  CEXP CVAR PNULL C  CEXP CVAR PNULL
NGC3351   40 36.7 7.42+2.84-2.10 0.98+0.21-0.24 1.99+0.41-0.35 39.2+0.1-0.1  17  34  54  0.029  25  39  65  0.075
NGC3377   17 37.1 5.11+2.46-1.71 1.15+0.35-0.36 2.19+0.41-0.38 39.1+0.1-0.1  16  23  30  0.162  21  24  32  0.568
NGC3379   97 36.4   11.1+2.6-2.1 1.25+0.10-0.10 1.94+0.24-0.20 39.7+0.1-0.1  37  43  75  0.430  46  42  91  0.687
NGC3384   32 36.8 4.94+2.23-1.60 1.09+0.23-0.26 2.16+0.42-0.39 39.0+0.1-0.1  27  30  44  0.658  34  35  59  0.885
MRK0153    2 38.7 45.6+35.7-25.5 0.94+0.67-0.58 2.29+0.32-0.39 40.1+0.3-0.3   4   6   7  0.365  11   5  26  0.274
NGC3521   55 37.0   24.8+4.4-4.1 0.15+0.16-0.11 1.92+0.16-0.15 40.0+0.1-0.1  19  36  56  0.027  41  40  81  0.905
NGC3585   64 37.4   28.6+6.7-5.5 0.90+0.29-0.29 1.89+0.25-0.20 39.9+0.1-0.1  15  28  57  0.069  22  33  62  0.183
NGC3627   69 37.0   21.2+4.8-4.1 0.67+0.19-0.19 1.91+0.18-0.15 40.1+0.1-0.1  33  39  65  0.471  39  42  82  0.708
NGC3631   52 37.4   14.5+3.5-3.1 0.23+0.31-0.17 1.61+0.12-0.11 40.3+0.1-0.1  40  39  58  0.908  54  36  51  0.014
NGC3738    0 37.1 0.16+0.41-0.16 0.85+0.70-0.57 2.29+0.48-0.47 37.8+0.5-0.7   0   3  15  0.515   1   4  27  0.523
NGC3938   24 37.3 7.92+3.03-2.33 0.86+0.37-0.38 1.87+0.34-0.27 39.4+0.1-0.1  16  27  35  0.069  25  30  44  0.513
ANTENNA  102 37.1   28.6+4.9-4.2 0.82+0.17-0.17 1.58+0.09-0.08 40.5+0.1-0.1  31  45  76  0.114  48  48 128  1.000
NGC4125   36 37.6   21.1+6.0-4.8 1.20+0.47-0.45 2.19+0.26-0.23 39.9+0.1-0.1  18  28  46  0.132  30  30  57  0.934
NGC4214   33 35.8 0.96+0.71-0.41 1.35+0.17-0.19 2.01+0.50-0.46 38.3+0.2-0.2  31  35  42  0.479  46  31  56  0.047
NGC4242    1 37.4 0.22+0.52-0.27 0.92+0.60-0.60 2.23+0.46-0.59 38.0+0.5-0.7   1   4  16  0.398   1   5  20  0.363
NGC4254   34 37.7   16.6+4.7-3.8 0.80+0.54-0.47 1.66+0.24-0.20 39.8+0.1-0.1   8  23  41  0.015  17  33  49  0.021
NGC4321   70 37.1   19.0+4.7-3.9 0.67+0.23-0.23 1.76+0.22-0.17 39.9+0.1-0.1  22  36  64  0.096  34  42  87  0.409
NGC4377    5 37.3 2.75+1.59-1.19 0.54+0.49-0.35 2.21+0.46-0.45 38.5+0.2-0.2   9  14  20  0.249  13  18  26  0.342
NGC4382   68 37.4   19.2+5.3-4.3 1.24+0.30-0.29 1.78+0.26-0.21 39.8+0.1-0.1  21  30  60  0.247  39  35  80  0.658
NGC4395   14 36.7 1.13+0.95-0.52 0.51+0.41-0.33 1.51+0.31-0.26 39.2+0.3-0.3  27  25  33  0.746  40  23  40  0.008
NGC4449   33 36.1 4.78+1.98-1.42 0.84+0.19-0.22 1.79+0.38-0.33 39.1+0.1-0.1  34  39  40  0.382  51  39  59  0.132
NGC4450    8 38.1 7.46+6.19-3.28 1.00+0.66-0.58 1.74+0.31-0.21 40.1+0.2-0.2  17  21  29  0.479  24  18  27  0.268
NGC4473   27 37.6   13.3+4.4-3.4 1.15+0.46-0.44 2.30+0.33-0.33 39.5+0.1-0.1  21  21  35  0.986  28  24  38  0.571
NGC4490   42 36.5 5.08+1.47-1.29 1.03+0.16-0.18 1.27+0.14-0.12 39.9+0.1-0.1  35  46  53  0.113  44  52 106  0.458
NGC4536   13 37.9 5.39+3.18-1.96 0.98+0.66-0.57 1.54+0.29-0.25 39.6+0.1-0.1  17  20  19  0.569  22  24  28  0.685
NGC4559    6 37.3 0.88+0.65-0.43 0.64+0.53-0.38 1.21+0.27-0.19 39.5+0.2-0.3  19  21  30  0.717  31  31  63  0.947
NGC4569   29 37.6   12.5+4.3-3.4 0.89+0.51-0.47 1.92+0.29-0.22 39.7+0.1-0.1  22  26  38  0.468  27  31  54  0.542
NGC4605    6 37.3 4.05+3.41-2.07 1.13+0.61-0.52 2.24+0.45-0.47 38.5+0.2-0.2   5  11  19  0.152  14  15  30  0.855
NGC4625    6 36.7 1.08+1.22-0.61 1.27+0.45-0.46 2.25+0.48-0.49 38.2+0.2-0.2  10  16  19  0.210  21  10  29  0.041
NGC4670    5 38.1 3.08+2.90-1.57 0.92+0.68-0.60 1.41+0.29-0.28 39.7+0.2-0.2  19  17  19  0.561  21  16  46  0.434
NGC4725   37 37.3   10.2+3.7-2.9 1.14+0.36-0.37 1.98+0.34-0.27 39.5+0.1-0.1  27  28  45  0.852  34  31  56  0.731
NGC4736   79 36.2   10.2+2.6-2.1 1.00+0.11-0.12 1.71+0.21-0.17 39.7+0.1-0.1  42  47  77  0.579  54  45  93  0.326
NGC4826   34 37.0 9.39+2.99-2.58 0.46+0.30-0.27 1.68+0.35-0.29 39.3+0.1-0.1  28  29  45  0.869  47  37  72  0.217
NGC4861   10 37.2 1.63+1.05-0.74 0.65+0.50-0.43 1.41+0.32-0.23 39.3+0.2-0.3  26  27  31  0.768  29  35  56  0.464
UGC0820    1 36.9 0.19+0.43-0.17 0.64+0.60-0.42 2.28+0.46-0.47 37.8+0.5-0.6   1   5  20  0.367   1   5  54  0.591
